"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97"
"0s",0.025,0.021,0.025,0.003,0.003,0.003,0.026,0.019,0.017,0,0.016,0.021,0.033,0.021,0.017,0.00600000000000001,0.001,0.003,0.013,0.017,0.014,0,0.01,0.01,0.023,0.021,0.023,0.00600000000000001,0.004,0.00600000000000001,0.015,0.016,0.018,0,0.012,0.012,0.02,0.011,0.013,-0.001,-0.002,-0.001,0.00899999999999999,0.00599999999999999,0.00699999999999999,0,0.00799999999999999,0.00799999999999999,0.018,0.017,0.016,0.005,0.00600000000000001,0.002,0.013,0.01,0.016,0,0.014,0.015,0.027,0.02,0.017,0.00600000000000001,0.005,0.00700000000000001,0.016,0.011,0.014,0,0.017,0.00699999999999999,0.024,0.032,0.02,0.004,0.005,0.005,0.013,0.016,0.014,0,0.011,0.012,0.021,0.004,0.021,0.004,0.005,0.011,0.017,0.018,0.016,0,0.016,0.016
"1016s",0.05,0.047,0.058,0.003,0.003,0.002,0.045,0.028,0.031,0,0.014,0.02,0.036,0.022,0.018,0.00700000000000001,0.003,0.004,0.013,0.018,0.014,0,0.01,0.011,0.023,0.02,0.024,0.005,0.004,0.00600000000000001,0.014,0.015,0.018,0,0.011,0.012,0.023,0.015,0.019,0,-0.001,0,0.011,0.00899999999999999,0.01,0,0.00899999999999999,0.00899999999999999,0.02,0.02,0.019,0.00700000000000001,0.00700000000000001,0.003,0.013,0.013,0.017,0,0.015,0.016,0.027,0.02,0.019,0.00600000000000001,0.005,0.00800000000000001,0.016,0.013,0.016,0,0.018,0.00899999999999999,0.023,0.031,0.021,0.00600000000000001,0.00700000000000001,0.005,0.014,0.016,0.017,0,0.012,0.013,0.022,0.004,0.02,0.003,0.004,0.011,0.016,0.017,0.014,0,0.015,0.017
"2033s",0.074,0.061,0.07,0.004,0.004,0.004,0.081,0.067,0.068,0,0.017,0.023,0.034,0.022,0.018,0.00700000000000001,0.002,0.004,0.012,0.016,0.013,0,0.011,0.012,0.021,0.019,0.023,0.005,0.004,0.005,0.012,0.013,0.017,0,0.01,0.011,0.022,0.014,0.018,0.001,0,0.001,0.01,0.00899999999999999,0.00899999999999999,0,0.015,0.014,0.019,0.019,0.018,0.00600000000000001,0.00600000000000001,0.003,0.012,0.012,0.016,0,0.016,0.017,0.025,0.02,0.018,0.00600000000000001,0.005,0.00800000000000001,0.016,0.013,0.014,0,0.023,0.012,0.022,0.029,0.021,0.00600000000000001,0.00700000000000001,0.00600000000000001,0.013,0.014,0.015,0,0.012,0.015,0.023,0.005,0.02,0.004,0.005,0.012,0.016,0.017,0.014,0,0.015,0.022
"3049s",0.095,0.077,0.087,0.004,0.004,0.004,0.099,0.099,0.09,0,0.023,0.029,0.035,0.022,0.019,0.00800000000000001,0.003,0.004,0.013,0.017,0.014,0,0.013,0.014,0.021,0.018,0.022,0.00600000000000001,0.004,0.00600000000000001,0.012,0.014,0.016,0,0.011,0.011,0.02,0.013,0.017,0.001,0,0.001,0.00899999999999999,0.00700000000000001,0.00700000000000001,0,0.015,0.014,0.019,0.019,0.018,0.00700000000000001,0.00700000000000001,0.004,0.012,0.013,0.016,0,0.019,0.019,0.024,0.02,0.017,0.00600000000000001,0.004,0.00700000000000001,0.016,0.012,0.012,0,0.03,0.012,0.022,0.028,0.02,0.00600000000000001,0.00700000000000001,0.00600000000000001,0.013,0.014,0.015,0,0.015,0.017,0.023,0.005,0.019,0.004,0.005,0.012,0.015,0.017,0.014,0,0.014,0.03
"4066s",0.119,0.094,0.105,0.005,0.005,0.005,0.12,0.126,0.109,0,0.03,0.036,0.035,0.022,0.018,0.00700000000000001,0.003,0.004,0.013,0.017,0.013,0,0.015,0.017,0.02,0.018,0.021,0.00600000000000001,0.004,0.00600000000000001,0.012,0.013,0.017,0,0.011,0.011,0.02,0.012,0.016,0.001,0,0.001,0.00800000000000001,0.00700000000000001,0.00700000000000001,0,0.019,0.019,0.018,0.019,0.016,0.00700000000000001,0.00700000000000001,0.004,0.011,0.012,0.014,0,0.02,0.021,0.024,0.019,0.017,0.005,0.004,0.00700000000000001,0.015,0.011,0.011,0,0.041,0.013,0.021,0.027,0.02,0.00600000000000001,0.00700000000000001,0.005,0.013,0.013,0.013,0,0.018,0.018,0.022,0.004,0.018,0.004,0.005,0.012,0.015,0.016,0.013,0,0.014,0.042
"5082s",0.143,0.114,0.124,0.00800000000000001,0.00800000000000001,0.00700000000000001,0.138,0.159,0.131,0,0.043,0.048,0.034,0.021,0.018,0.00700000000000001,0.003,0.004,0.013,0.017,0.013,0,0.019,0.02,0.019,0.017,0.021,0.005,0.004,0.00600000000000001,0.012,0.013,0.017,0,0.011,0.011,0.02,0.013,0.016,0.002,0.001,0.001,0.00900000000000001,0.00700000000000001,0.00800000000000001,0,0.02,0.02,0.017,0.018,0.015,0.00700000000000001,0.00600000000000001,0.004,0.01,0.011,0.013,0,0.021,0.021,0.023,0.019,0.016,0.005,0.004,0.00700000000000001,0.016,0.011,0.011,0,0.058,0.012,0.021,0.027,0.02,0.00600000000000001,0.00700000000000001,0.005,0.013,0.012,0.012,0,0.022,0.017,0.021,0.004,0.018,0.004,0.005,0.012,0.014,0.015,0.013,0,0.014,0.058
"6099s",0.169,0.134,0.147,0.01,0.01,0.00900000000000001,0.168,0.187,0.158,0,0.058,0.062,0.035,0.022,0.018,0.00800000000000001,0.003,0.004,0.013,0.017,0.014,0,0.024,0.024,0.019,0.017,0.02,0.005,0.004,0.005,0.011,0.013,0.017,0,0.01,0.011,0.02,0.013,0.016,0.002,0.001,0.001,0.00800000000000001,0.00700000000000001,0.00800000000000001,0,0.018,0.02,0.017,0.017,0.015,0.00700000000000001,0.00600000000000001,0.004,0.01,0.011,0.012,0,0.023,0.022,0.022,0.018,0.016,0.005,0.004,0.00700000000000001,0.015,0.011,0.011,0,0.076,0.011,0.02,0.027,0.019,0.005,0.00700000000000001,0.005,0.012,0.012,0.012,0,0.029,0.014,0.021,0.004,0.018,0.004,0.004,0.012,0.014,0.015,0.012,0,0.014,0.074
"7115s",0.199,0.159,0.172,0.012,0.012,0.011,0.193,0.216,0.184,0,0.076,0.082,0.035,0.022,0.019,0.00800000000000001,0.003,0.005,0.013,0.017,0.014,0,0.03,0.031,0.019,0.017,0.02,0.005,0.004,0.005,0.011,0.012,0.016,0,0.01,0.011,0.02,0.012,0.015,0.001,0,0.001,0.00800000000000001,0.00700000000000001,0.00700000000000001,0,0.016,0.02,0.016,0.017,0.014,0.00700000000000001,0.00600000000000001,0.003,0.00900000000000001,0.01,0.011,0,0.023,0.021,0.022,0.019,0.016,0.005,0.004,0.00800000000000001,0.014,0.012,0.012,0,0.098,0.01,0.02,0.026,0.019,0.005,0.00600000000000001,0.005,0.012,0.012,0.012,0,0.038,0.013,0.02,0.004,0.017,0.004,0.004,0.012,0.013,0.015,0.012,0,0.012,0.091
"8131s",0.227,0.187,0.201,0.015,0.015,0.014,0.218,0.249,0.218,0,0.097,0.1,0.036,0.023,0.02,0.00900000000000001,0.004,0.00600000000000001,0.014,0.018,0.015,0,0.039,0.039,0.018,0.017,0.019,0.005,0.004,0.005,0.011,0.012,0.016,0,0.00900000000000001,0.01,0.019,0.012,0.015,0.001,0,0.001,0.00800000000000001,0.00700000000000001,0.00700000000000001,0,0.017,0.022,0.016,0.017,0.014,0.00600000000000001,0.00600000000000001,0.003,0.00900000000000001,0.01,0.012,0,0.023,0.023,0.021,0.018,0.015,0.004,0.003,0.00700000000000001,0.013,0.011,0.011,0,0.116,0.01,0.019,0.026,0.019,0.004,0.00600000000000001,0.005,0.012,0.011,0.011,0,0.05,0.012,0.019,0.004,0.017,0.003,0.004,0.011,0.013,0.014,0.012,0,0.01,0.123
"9148s",0.252,0.21,0.227,0.019,0.019,0.018,0.239,0.281,0.258,0,0.12,0.121,0.038,0.024,0.021,0.01,0.005,0.00600000000000001,0.014,0.019,0.016,0,0.05,0.05,0.018,0.017,0.019,0.005,0.004,0.005,0.011,0.012,0.016,0,0.00800000000000001,0.00900000000000001,0.019,0.012,0.015,0.001,0,0.001,0.00700000000000001,0.00600000000000001,0.00700000000000001,0,0.014,0.02,0.016,0.017,0.014,0.00600000000000001,0.00600000000000001,0.003,0.00900000000000001,0.01,0.013,0,0.022,0.023,0.022,0.019,0.016,0.005,0.004,0.00700000000000001,0.014,0.012,0.011,0,0.148,0.00900000000000001,0.019,0.025,0.018,0.004,0.00600000000000001,0.005,0.011,0.011,0.012,0,0.068,0.012,0.018,0.004,0.017,0.003,0.003,0.011,0.012,0.014,0.012,0,0.00700000000000001,0.153
"10165s",0.308,0.256,0.27,0.024,0.024,0.022,0.275,0.324,0.305,0,0.155,0.169,0.04,0.027,0.023,0.012,0.00700000000000001,0.00800000000000001,0.016,0.021,0.018,0,0.068,0.067,0.019,0.018,0.02,0.00600000000000001,0.005,0.00600000000000001,0.012,0.013,0.017,0,0.00900000000000001,0.00900000000000001,0.018,0.012,0.014,0.001,0,0.001,0.00700000000000001,0.00600000000000001,0.00700000000000001,0,0.011,0.014,0.015,0.016,0.013,0.00600000000000001,0.00600000000000001,0.003,0.00800000000000001,0.01,0.012,0,0.021,0.022,0.021,0.018,0.016,0.005,0.004,0.00700000000000001,0.015,0.011,0.011,0,0.183,0.00700000000000001,0.02,0.026,0.019,0.005,0.00600000000000001,0.005,0.012,0.012,0.012,0,0.089,0.011,0.019,0.005,0.018,0.004,0.004,0.012,0.013,0.015,0.012,0,0.00700000000000001,0.199
"11181s",0.351,0.301,0.317,0.029,0.029,0.028,0.307,0.37,0.366,0,0.192,0.199,0.042,0.029,0.025,0.013,0.00800000000000001,0.01,0.018,0.023,0.02,0,0.086,0.087,0.019,0.018,0.02,0.00700000000000001,0.005,0.00700000000000001,0.012,0.013,0.016,0,0.00800000000000001,0.00900000000000001,0.019,0.012,0.015,0.002,0.001,0.001,0.00700000000000001,0.00600000000000001,0.00700000000000001,0,0.00800000000000001,0.01,0.015,0.016,0.014,0.00600000000000001,0.00600000000000001,0.003,0.00800000000000001,0.01,0.01,0,0.021,0.023,0.021,0.018,0.016,0.005,0.003,0.00700000000000001,0.015,0.011,0.011,0,0.223,0.005,0.02,0.026,0.019,0.005,0.00600000000000001,0.005,0.012,0.012,0.013,0,0.115,0.011,0.019,0.005,0.018,0.004,0.004,0.012,0.013,0.015,0.012,0,0.00600000000000001,0.26
"12198s",0.382,0.34,0.36,0.036,0.036,0.035,0.348,0.416,0.418,0,0.227,0.234,0.045,0.031,0.027,0.015,0.00900000000000001,0.011,0.02,0.025,0.023,0,0.11,0.11,0.019,0.018,0.02,0.00700000000000001,0.005,0.00700000000000001,0.012,0.013,0.016,0,0.00800000000000001,0.00900000000000001,0.018,0.011,0.014,0.001,0,0.001,0.00700000000000001,0.00600000000000001,0.00700000000000001,0,0.005,0.005,0.016,0.017,0.014,0.00700000000000001,0.00700000000000001,0.004,0.00900000000000001,0.011,0.011,0,0.021,0.023,0.021,0.018,0.016,0.005,0.004,0.00700000000000001,0.015,0.011,0.011,0,0.267,0.004,0.02,0.026,0.019,0.005,0.00600000000000001,0.005,0.012,0.012,0.012,0,0.143,0.012,0.019,0.005,0.017,0.003,0.004,0.011,0.013,0.014,0.012,0,0.005,0.303
"13215s",0.471,0.404,0.407,0.046,0.046,0.044,0.388,0.455,0.458,0,0.251,0.266,0.048,0.034,0.031,0.017,0.011,0.013,0.022,0.028,0.026,0,0.136,0.14,0.019,0.018,0.02,0.00700000000000001,0.00600000000000001,0.00700000000000001,0.012,0.013,0.016,0,0.00800000000000001,0.00800000000000001,0.018,0.011,0.014,0.001,0,0.001,0.00700000000000001,0.00600000000000001,0.00600000000000001,0,0.003,0.003,0.016,0.017,0.014,0.00700000000000001,0.00700000000000001,0.004,0.00900000000000001,0.011,0.011,0,0.02,0.022,0.021,0.018,0.015,0.004,0.003,0.00600000000000001,0.014,0.011,0.01,0,0.306,0.003,0.019,0.026,0.019,0.005,0.00600000000000001,0.005,0.012,0.012,0.012,0,0.176,0.012,0.018,0.005,0.017,0.003,0.004,0.011,0.013,0.014,0.012,0,0.005,0.359
"14231s",0.51,0.456,0.452,0.057,0.057,0.055,0.428,0.508,0.515,0,0.286,0.317,0.051,0.038,0.034,0.02,0.013,0.015,0.024,0.031,0.03,0,0.183,0.193,0.019,0.018,0.02,0.00800000000000001,0.00600000000000001,0.00800000000000001,0.012,0.013,0.016,0,0.00800000000000001,0.00800000000000001,0.018,0.011,0.014,0.001,0,0.001,0.00700000000000001,0.00600000000000001,0.00600000000000001,0,0.002,0.002,0.016,0.017,0.014,0.00700000000000001,0.00700000000000001,0.003,0.00900000000000001,0.011,0.011,0,0.02,0.021,0.02,0.018,0.015,0.004,0.003,0.00600000000000001,0.015,0.011,0.01,0,0.358,0.002,0.019,0.025,0.019,0.005,0.00600000000000001,0.005,0.012,0.011,0.012,0,0.221,0.011,0.018,0.005,0.017,0.003,0.004,0.011,0.013,0.014,0.012,0,0.005,0.423
"15248s",0.547,0.502,0.532,0.071,0.071,0.069,0.52,0.598,0.602,0,0.333,0.361,0.056,0.042,0.039,0.022,0.016,0.018,0.028,0.036,0.035,0,0.215,0.213,0.019,0.018,0.02,0.00800000000000001,0.00700000000000001,0.00800000000000001,0.012,0.013,0.016,0,0.00900000000000001,0.00800000000000001,0.018,0.011,0.014,0.001,0,0.001,0.00700000000000001,0.00600000000000001,0.00700000000000001,0,0.001,0.002,0.016,0.017,0.014,0.00700000000000001,0.00700000000000001,0.004,0.00900000000000001,0.01,0.011,0,0.019,0.021,0.02,0.017,0.015,0.004,0.003,0.00700000000000001,0.014,0.011,0.01,0,0.387,0.001,0.019,0.025,0.018,0.005,0.00600000000000001,0.005,0.012,0.011,0.011,0,0.276,0.011,0.018,0.005,0.017,0.003,0.004,0.011,0.013,0.014,0.012,0,0.005,0.461
"16264s",0.6,0.552,0.573,0.087,0.087,0.085,0.669,0.674,0.643,0,0.377,0.398,0.061,0.047,0.045,0.026,0.019,0.022,0.032,0.041,0.041,0,0.239,0.247,0.019,0.018,0.02,0.00800000000000001,0.00700000000000001,0.00900000000000001,0.012,0.013,0.016,0,0.00900000000000001,0.00900000000000001,0.018,0.011,0.014,0.001,0,0.001,0.00700000000000001,0.00600000000000001,0.00600000000000001,0,0.001,0.001,0.015,0.017,0.014,0.00700000000000001,0.00700000000000001,0.004,0.00900000000000001,0.01,0.011,0,0.019,0.021,0.02,0.018,0.015,0.005,0.003,0.00700000000000001,0.014,0.011,0.011,0,0.427,0,0.019,0.025,0.018,0.005,0.00600000000000001,0.004,0.011,0.011,0.011,0,0.32,0.011,0.018,0.005,0.017,0.003,0.004,0.011,0.013,0.014,0.012,0,0.005,0.508
"17281s",0.642,0.589,0.604,0.106,0.107,0.109,0.685,0.685,0.67,0,0.41,0.434,0.068,0.055,0.052,0.031,0.023,0.026,0.038,0.048,0.05,0,0.276,0.287,0.019,0.018,0.02,0.00900000000000001,0.00700000000000001,0.00900000000000001,0.012,0.013,0.016,0,0.011,0.00900000000000001,0.018,0.011,0.014,0.001,0,0.001,0.00600000000000001,0.00600000000000001,0.00600000000000001,0,0,0.001,0.015,0.017,0.014,0.00700000000000001,0.00700000000000001,0.004,0.00900000000000001,0.01,0.011,0,0.018,0.02,0.02,0.018,0.015,0.004,0.003,0.00700000000000001,0.014,0.01,0.01,0,0.46,0,0.019,0.025,0.018,0.004,0.00600000000000001,0.004,0.011,0.011,0.01,0,0.358,0.011,0.018,0.005,0.017,0.003,0.004,0.011,0.012,0.014,0.012,0,0.005,0.553
"18297s",0.667,0.608,0.617,0.13,0.13,0.133,0.666,0.681,0.672,0,0.44,0.456,0.078,0.063,0.06,0.037,0.028,0.031,0.045,0.058,0.06,0,0.319,0.325,0.019,0.018,0.02,0.00900000000000001,0.00800000000000001,0.00900000000000001,0.012,0.013,0.016,0,0.013,0.01,0.018,0.011,0.014,0.002,0.001,0.001,0.00600000000000001,0.00600000000000001,0.00600000000000001,0,0,0,0.015,0.016,0.013,0.00700000000000001,0.00700000000000001,0.003,0.00900000000000001,0.01,0.011,0,0.018,0.02,0.02,0.017,0.015,0.004,0.003,0.00600000000000001,0.014,0.01,0.01,0,0.487,-0.001,0.018,0.025,0.018,0.004,0.00600000000000001,0.004,0.011,0.011,0.012,0,0.414,0.01,0.018,0.005,0.017,0.003,0.004,0.011,0.012,0.014,0.012,0,0.005,0.572
"19313s",0.698,0.655,0.649,0.162,0.162,0.159,0.672,0.689,0.683,0,0.473,0.483,0.088,0.074,0.07,0.045,0.034,0.039,0.055,0.069,0.073,0,0.348,0.36,0.019,0.018,0.02,0.01,0.00800000000000001,0.01,0.013,0.014,0.016,0,0.015,0.012,0.017,0.011,0.014,0.002,0.001,0.001,0.00600000000000001,0.005,0.00600000000000001,0,0,0,0.015,0.017,0.013,0.00700000000000001,0.00700000000000001,0.004,0.00900000000000001,0.01,0.011,0,0.017,0.019,0.019,0.017,0.015,0.004,0.003,0.00600000000000001,0.013,0.01,0.011,0,0.525,-0.001,0.018,0.024,0.018,0.004,0.00600000000000001,0.004,0.011,0.011,0.011,0,0.451,0.01,0.018,0.004,0.017,0.003,0.004,0.011,0.012,0.014,0.011,0,0.005,0.605
"20330s",0.729,0.686,0.675,0.191,0.191,0.184,0.686,0.693,0.69,0,0.496,0.495,0.1,0.087,0.082,0.055,0.042,0.048,0.066,0.084,0.09,0,0.4,0.397,0.019,0.019,0.02,0.01,0.00900000000000001,0.01,0.013,0.014,0.016,0,0.019,0.014,0.017,0.011,0.014,0.002,0.001,0.002,0.00700000000000001,0.00600000000000001,0.00600000000000001,0,-0.001,0,0.015,0.016,0.013,0.00700000000000001,0.00700000000000001,0.003,0.00800000000000001,0.01,0.011,0,0.016,0.018,0.019,0.017,0.015,0.004,0.003,0.00600000000000001,0.013,0.01,0.01,0,0.562,-0.001,0.018,0.024,0.018,0.004,0.00600000000000001,0.004,0.011,0.01,0.01,0,0.497,0.01,0.017,0.004,0.016,0.003,0.004,0.011,0.012,0.014,0.011,0,0.005,0.628
"21347s",0.738,0.716,0.697,0.211,0.214,0.201,0.698,0.699,0.701,0,0.53,0.526,0.116,0.102,0.096,0.067,0.052,0.059,0.081,0.101,0.111,0,0.456,0.454,0.019,0.019,0.02,0.011,0.00900000000000001,0.011,0.013,0.014,0.017,0,0.025,0.018,0.017,0.011,0.014,0.002,0.001,0.002,0.00600000000000001,0.005,0.00600000000000001,0,-0.001,0,0.015,0.016,0.013,0.00700000000000001,0.00700000000000001,0.004,0.00800000000000001,0.01,0.011,0,0.016,0.018,0.019,0.017,0.015,0.004,0.003,0.00600000000000001,0.013,0.01,0.00900000000000001,0,0.581,-0.001,0.018,0.024,0.018,0.004,0.005,0.004,0.011,0.01,0.011,0,0.514,0.00900000000000001,0.017,0.004,0.016,0.003,0.004,0.011,0.012,0.014,0.011,0,0.00600000000000001,0.648
"22363s",0.751,0.725,0.708,0.23,0.232,0.218,0.706,0.715,0.713,0,0.559,0.548,0.135,0.119,0.114,0.081,0.065,0.073,0.098,0.123,0.134,0,0.483,0.478,0.02,0.019,0.02,0.011,0.01,0.012,0.014,0.014,0.017,0,0.031,0.022,0.017,0.011,0.013,0.003,0.002,0.002,0.00600000000000001,0.005,0.00600000000000001,0,-0.001,-0.001,0.015,0.016,0.013,0.00700000000000001,0.00700000000000001,0.003,0.00800000000000001,0.01,0.011,0,0.015,0.017,0.019,0.017,0.015,0.004,0.003,0.00600000000000001,0.013,0.01,0.00900000000000001,0,0.583,-0.001,0.018,0.024,0.017,0.004,0.005,0.004,0.011,0.011,0.011,0,0.541,0.00900000000000001,0.017,0.004,0.016,0.003,0.004,0.011,0.012,0.013,0.011,0,0.00700000000000001,0.664
"23379s",0.747,0.733,0.717,0.251,0.253,0.239,0.711,0.725,0.724,0,0.575,0.565,0.158,0.14,0.135,0.1,0.08,0.091,0.119,0.15,0.168,0,0.497,0.486,0.02,0.019,0.021,0.012,0.011,0.012,0.014,0.015,0.017,0,0.04,0.028,0.017,0.01,0.013,0.003,0.002,0.002,0.00600000000000001,0.005,0.00600000000000001,0,-0.001,-0.001,0.015,0.016,0.013,0.00700000000000001,0.00700000000000001,0.003,0.00800000000000001,0.00900000000000001,0.011,0,0.014,0.016,0.019,0.017,0.015,0.004,0.003,0.00600000000000001,0.013,0.01,0.00900000000000001,0,0.59,-0.001,0.017,0.023,0.017,0.004,0.005,0.004,0.011,0.01,0.01,0,0.552,0.00900000000000001,0.017,0.004,0.016,0.003,0.004,0.011,0.012,0.013,0.011,0,0.00800000000000001,0.667
"24395s",0.748,0.737,0.729,0.272,0.275,0.257,0.715,0.732,0.731,0,0.589,0.583,0.185,0.165,0.16,0.123,0.1,0.113,0.142,0.183,0.204,0,0.504,0.497,0.02,0.02,0.021,0.013,0.012,0.013,0.014,0.015,0.017,0,0.053,0.037,0.017,0.011,0.014,0.004,0.003,0.003,0.00700000000000001,0.00600000000000001,0.00600000000000001,0,0,0,0.014,0.016,0.013,0.00700000000000001,0.00700000000000001,0.003,0.00800000000000001,0.00900000000000001,0.011,0,0.013,0.016,0.018,0.016,0.014,0.004,0.003,0.00600000000000001,0.013,0.01,0.00900000000000001,0,0.6,0,0.017,0.023,0.017,0.004,0.005,0.004,0.011,0.011,0.01,0,0.568,0.00900000000000001,0.017,0.004,0.016,0.003,0.004,0.011,0.012,0.013,0.011,0,0.00900000000000001,0.679
"25412s",0.757,0.748,0.737,0.297,0.308,0.283,0.724,0.734,0.735,0,0.599,0.599,0.216,0.193,0.188,0.153,0.122,0.136,0.169,0.219,0.247,0,0.511,0.506,0.021,0.02,0.021,0.014,0.013,0.014,0.015,0.016,0.018,0,0.07,0.049,0.018,0.011,0.014,0.004,0.003,0.004,0.00700000000000001,0.00600000000000001,0.00600000000000001,0,-0.001,0,0.015,0.016,0.013,0.00700000000000001,0.00700000000000001,0.004,0.00800000000000001,0.00900000000000001,0.011,0,0.012,0.015,0.018,0.016,0.014,0.004,0.003,0.00600000000000001,0.013,0.01,0.00900000000000001,0,0.613,-0.001,0.017,0.023,0.017,0.004,0.005,0.004,0.011,0.011,0.00900000000000001,0,0.565,0.00800000000000001,0.016,0.004,0.016,0.003,0.004,0.011,0.012,0.013,0.011,0,0.011,0.692
"26428s",0.758,0.754,0.744,0.319,0.328,0.296,0.729,0.741,0.745,0,0.604,0.617,0.251,0.223,0.22,0.177,0.151,0.166,0.198,0.255,0.288,0,0.525,0.511,0.021,0.021,0.022,0.015,0.014,0.015,0.015,0.016,0.018,0,0.091,0.064,0.016,0.01,0.013,0.004,0.002,0.003,0.00600000000000001,0.005,0.005,0,-0.002,-0.001,0.014,0.016,0.013,0.00700000000000001,0.00700000000000001,0.003,0.00800000000000001,0.00900000000000001,0.011,0,0.012,0.015,0.018,0.016,0.014,0.004,0.003,0.00600000000000001,0.013,0.01,0.00900000000000001,0,0.61,-0.002,0.017,0.023,0.017,0.004,0.005,0.004,0.01,0.01,0.01,0,0.581,0.00800000000000001,0.016,0.004,0.016,0.003,0.003,0.011,0.011,0.013,0.011,0,0.013,0.697
"27445s",0.754,0.759,0.747,0.339,0.35,0.315,0.739,0.745,0.752,0,0.608,0.631,0.292,0.256,0.254,0.198,0.171,0.179,0.233,0.291,0.331,0,0.53,0.522,0.022,0.021,0.022,0.016,0.015,0.016,0.016,0.017,0.019,0,0.117,0.083,0.016,0.01,0.013,0.004,0.003,0.003,0.00600000000000001,0.005,0.005,0,-0.001,-0.001,0.014,0.016,0.013,0.00700000000000001,0.00700000000000001,0.003,0.00800000000000001,0.00900000000000001,0.011,0,0.011,0.014,0.018,0.016,0.014,0.004,0.003,0.00600000000000001,0.013,0.00900000000000001,0.00900000000000001,0,0.613,-0.002,0.017,0.023,0.017,0.004,0.005,0.004,0.01,0.01,0.011,0,0.582,0.00800000000000001,0.016,0.004,0.016,0.003,0.003,0.011,0.011,0.013,0.011,0,0.016,0.708
"28461s",0.779,0.773,0.761,0.369,0.383,0.338,0.747,0.748,0.754,0,0.613,0.639,0.336,0.297,0.291,0.22,0.195,0.206,0.276,0.333,0.379,0,0.532,0.533,0.022,0.022,0.023,0.018,0.016,0.018,0.017,0.018,0.019,0,0.149,0.108,0.016,0.01,0.013,0.004,0.003,0.003,0.00600000000000001,0.005,0.005,0,-0.002,-0.001,0.014,0.016,0.013,0.00800000000000001,0.00700000000000001,0.004,0.00800000000000001,0.00900000000000001,0.01,0,0.011,0.013,0.018,0.016,0.014,0.004,0.003,0.00600000000000001,0.013,0.00900000000000001,0.00900000000000001,0,0.627,-0.002,0.017,0.022,0.017,0.004,0.005,0.004,0.01,0.00900000000000001,0.00900000000000001,0,0.571,0.00700000000000001,0.016,0.004,0.016,0.003,0.003,0.011,0.011,0.013,0.01,0,0.02,0.722
"29478s",0.781,0.778,0.764,0.393,0.407,0.363,0.752,0.753,0.762,0,0.608,0.649,0.382,0.328,0.326,0.237,0.214,0.225,0.325,0.371,0.435,0,0.54,0.542,0.023,0.023,0.024,0.02,0.018,0.02,0.018,0.018,0.02,0,0.183,0.136,0.017,0.011,0.014,0.00600000000000001,0.004,0.005,0.00700000000000001,0.00600000000000001,0.00600000000000001,0,-0.001,0,0.014,0.016,0.013,0.00800000000000001,0.00700000000000001,0.004,0.00800000000000001,0.00900000000000001,0.01,0,0.01,0.012,0.017,0.016,0.014,0.004,0.003,0.00600000000000001,0.013,0.00900000000000001,0.00900000000000001,0,0.633,-0.001,0.016,0.022,0.017,0.004,0.005,0.004,0.01,0.01,0.00900000000000001,0,0.583,0.00700000000000001,0.016,0.004,0.016,0.003,0.003,0.011,0.011,0.013,0.011,0,0.026,0.731
"30494s",0.781,0.789,0.765,0.412,0.429,0.388,0.759,0.76,0.769,0,0.615,0.657,0.427,0.362,0.363,0.254,0.233,0.244,0.366,0.42,0.476,0,0.553,0.555,0.024,0.024,0.025,0.022,0.02,0.022,0.019,0.019,0.02,0,0.23,0.167,0.017,0.011,0.014,0.00600000000000001,0.005,0.005,0.00700000000000001,0.00600000000000001,0.00600000000000001,0,-0.001,0,0.014,0.015,0.013,0.00800000000000001,0.00800000000000001,0.004,0.00800000000000001,0.00900000000000001,0.01,0,0.01,0.012,0.017,0.016,0.014,0.004,0.003,0.00600000000000001,0.012,0.00900000000000001,0.00900000000000001,0,0.64,-0.001,0.016,0.022,0.017,0.004,0.005,0.004,0.01,0.00900000000000001,0.00900000000000001,0,0.599,0.00700000000000001,0.016,0.004,0.016,0.003,0.003,0.011,0.011,0.013,0.01,0,0.032,0.733
