"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97"
"64046s",0.837,0.839,0.824,0.72,0.693,0.665,0.814,0.818,0.854,0,0.53,0.559,0.604,0.606,0.714,0.626,0.597,0.58,0.693,0.671,0.667,0,0.474,0.493,0.305,0.289,0.261,0.306,0.37,0.318,0.458,0.466,0.399,0,0.552,0.563,0.013,0.00800000000000001,0.01,0.058,0.054,0.055,0.005,0.004,0.004,0,0,0.005,0.012,0.013,0.011,0.013,0.013,0.00600000000000001,0.00700000000000001,0.00800000000000001,0.00800000000000001,0,0.005,0.00700000000000001,0.014,0.014,0.012,0.004,0.003,0.00700000000000001,0.01,0.00700000000000001,0.00800000000000001,0,0.496,-0.002,0.011,0.016,0.013,0.003,0.004,0.003,0.00700000000000001,0.00800000000000001,0.00700000000000001,0,0.468,0.003,0.011,0.004,0.012,0.002,0.003,0.01,0.00700000000000001,0.00900000000000001,0.00600000000000001,0,0.577,0.781
"65063s",0.842,0.842,0.827,0.727,0.699,0.678,0.819,0.817,0.853,0,0.522,0.551,0.597,0.592,0.716,0.637,0.61,0.588,0.696,0.668,0.67,0,0.471,0.491,0.317,0.292,0.26,0.309,0.377,0.322,0.467,0.474,0.405,0,0.548,0.556,0.014,0.00900000000000001,0.012,0.066,0.061,0.062,0.00600000000000001,0.005,0.005,0,0.001,0.00700000000000001,0.012,0.013,0.011,0.014,0.013,0.00600000000000001,0.00600000000000001,0.00800000000000001,0.00800000000000001,0,0.005,0.00700000000000001,0.014,0.014,0.012,0.004,0.003,0.00600000000000001,0.01,0.00700000000000001,0.00800000000000001,0,0.49,-0.001,0.012,0.017,0.014,0.004,0.005,0.004,0.00800000000000001,0.00800000000000001,0.00700000000000001,0,0.465,0.003,0.01,0.004,0.012,0.002,0.003,0.01,0.00600000000000001,0.00900000000000001,0.00600000000000001,0,0.57,0.783
"66081s",0.845,0.843,0.826,0.731,0.701,0.681,0.819,0.817,0.854,0,0.515,0.549,0.588,0.578,0.719,0.641,0.614,0.594,0.697,0.668,0.675,0,0.47,0.487,0.326,0.296,0.259,0.313,0.386,0.324,0.473,0.48,0.414,0,0.548,0.558,0.013,0.00800000000000001,0.01,0.074,0.068,0.068,0.005,0.004,0.004,0,0,0.00800000000000001,0.012,0.013,0.011,0.014,0.013,0.00600000000000001,0.00600000000000001,0.00800000000000001,0.00700000000000001,0,0.005,0.00700000000000001,0.014,0.014,0.012,0.004,0.003,0.00700000000000001,0.01,0.00700000000000001,0.00800000000000001,0,0.484,-0.002,0.012,0.017,0.014,0.004,0.005,0.004,0.00800000000000001,0.00800000000000001,0.00800000000000001,0,0.463,0.003,0.01,0.004,0.012,0.002,0.003,0.01,0.00600000000000001,0.00900000000000001,0.00600000000000001,0,0.573,0.789
"67099s",0.844,0.843,0.828,0.737,0.708,0.687,0.821,0.82,0.857,0,0.508,0.544,0.565,0.555,0.723,0.643,0.617,0.598,0.697,0.671,0.682,0,0.464,0.483,0.326,0.297,0.258,0.316,0.395,0.331,0.481,0.488,0.428,0,0.544,0.556,0.013,0.00800000000000001,0.01,0.083,0.077,0.077,0.005,0.004,0.004,0,0,0.01,0.012,0.013,0.011,0.014,0.013,0.00700000000000001,0.00600000000000001,0.00800000000000001,0.00700000000000001,0,0.005,0.00700000000000001,0.013,0.013,0.011,0.003,0.002,0.00600000000000001,0.00900000000000001,0.00600000000000001,0.00700000000000001,0,0.479,-0.002,0.012,0.017,0.014,0.004,0.005,0.004,0.00800000000000001,0.00800000000000001,0.00700000000000001,0,0.462,0.002,0.01,0.004,0.012,0.002,0.003,0.01,0.00600000000000001,0.00800000000000001,0.00600000000000001,0,0.57,0.793
"68117s",0.84,0.844,0.83,0.743,0.713,0.69,0.821,0.823,0.859,0,0.502,0.54,0.541,0.534,0.727,0.647,0.62,0.6,0.694,0.674,0.689,0,0.462,0.48,0.325,0.296,0.257,0.321,0.403,0.337,0.488,0.496,0.438,0,0.544,0.556,0.014,0.00900000000000001,0.012,0.095,0.089,0.087,0.00600000000000001,0.005,0.005,0,0.002,0.013,0.012,0.013,0.011,0.014,0.013,0.00700000000000001,0.00600000000000001,0.00800000000000001,0.00700000000000001,0,0.005,0.00700000000000001,0.013,0.014,0.012,0.004,0.003,0.00700000000000001,0.01,0.00700000000000001,0.00800000000000001,0,0.475,-0.001,0.011,0.016,0.013,0.003,0.004,0.003,0.00700000000000001,0.00700000000000001,0.00700000000000001,0,0.459,0.002,0.01,0.004,0.012,0.002,0.003,0.01,0.00600000000000001,0.00800000000000001,0.005,0,0.568,0.798
"69135s",0.849,0.848,0.833,0.752,0.722,0.697,0.825,0.823,0.858,0,0.5,0.536,0.53,0.53,0.729,0.66,0.637,0.611,0.69,0.67,0.694,0,0.464,0.48,0.341,0.292,0.256,0.325,0.409,0.345,0.483,0.494,0.434,0,0.544,0.55,0.014,0.00900000000000001,0.012,0.104,0.098,0.1,0.00600000000000001,0.005,0.005,0,0.002,0.015,0.012,0.013,0.011,0.015,0.014,0.00700000000000001,0.00600000000000001,0.00800000000000001,0.00700000000000001,0,0.005,0.00700000000000001,0.013,0.014,0.012,0.004,0.003,0.00700000000000001,0.01,0.00700000000000001,0.00700000000000001,0,0.47,-0.001,0.011,0.015,0.012,0.003,0.004,0.003,0.00700000000000001,0.00700000000000001,0.00600000000000001,0,0.459,0.002,0.01,0.004,0.012,0.002,0.003,0.01,0.00600000000000001,0.00800000000000001,0.00600000000000001,0,0.564,0.805
"70153s",0.848,0.847,0.832,0.752,0.723,0.7,0.824,0.822,0.859,0,0.491,0.531,0.508,0.516,0.732,0.658,0.636,0.613,0.682,0.671,0.697,0,0.459,0.477,0.327,0.281,0.252,0.326,0.417,0.343,0.489,0.502,0.442,0,0.541,0.551,0.014,0.01,0.012,0.113,0.107,0.107,0.00600000000000001,0.005,0.005,0,0.003,0.018,0.012,0.013,0.011,0.015,0.014,0.00700000000000001,0.00600000000000001,0.00800000000000001,0.00700000000000001,0,0.005,0.00700000000000001,0.012,0.013,0.011,0.003,0.002,0.00600000000000001,0.00900000000000001,0.00600000000000001,0.00700000000000001,0,0.466,-0.001,0.011,0.015,0.012,0.003,0.004,0.003,0.00700000000000001,0.00700000000000001,0.00700000000000001,0,0.458,0.002,0.01,0.004,0.011,0.002,0.003,0.01,0.00600000000000001,0.00800000000000001,0.005,0,0.563,0.808
"71171s",0.847,0.847,0.834,0.758,0.73,0.702,0.825,0.825,0.861,0,0.484,0.529,0.496,0.508,0.735,0.662,0.641,0.616,0.674,0.674,0.704,0,0.456,0.475,0.328,0.276,0.246,0.331,0.424,0.349,0.492,0.509,0.448,0,0.538,0.549,0.014,0.00900000000000001,0.012,0.12,0.115,0.116,0.00600000000000001,0.005,0.005,0,0.004,0.022,0.012,0.013,0.011,0.015,0.014,0.00700000000000001,0.00600000000000001,0.00800000000000001,0.00700000000000001,0,0.005,0.00700000000000001,0.013,0.014,0.012,0.004,0.003,0.00600000000000001,0.01,0.00600000000000001,0.00800000000000001,0,0.461,-0.001,0.011,0.015,0.012,0.003,0.004,0.003,0.00700000000000001,0.00700000000000001,0.00600000000000001,0,0.456,0.002,0.01,0.004,0.011,0.002,0.003,0.01,0.00600000000000001,0.00800000000000001,0.005,0,0.56,0.814
"72188s",0.846,0.846,0.834,0.762,0.734,0.707,0.827,0.825,0.863,0,0.479,0.524,0.48,0.497,0.737,0.664,0.644,0.62,0.661,0.675,0.707,0,0.454,0.473,0.326,0.272,0.238,0.331,0.429,0.351,0.494,0.512,0.45,0,0.533,0.546,0.014,0.00900000000000001,0.012,0.127,0.122,0.125,0.00600000000000001,0.005,0.005,0,0.004,0.026,0.012,0.013,0.011,0.015,0.015,0.00700000000000001,0.00600000000000001,0.00800000000000001,0.00700000000000001,0,0.005,0.00700000000000001,0.012,0.013,0.011,0.003,0.002,0.00600000000000001,0.00900000000000001,0.005,0.00700000000000001,0,0.457,0,0.011,0.015,0.012,0.003,0.004,0.003,0.00700000000000001,0.00700000000000001,0.00600000000000001,0,0.456,0.002,0.00900000000000001,0.004,0.011,0.002,0.003,0.01,0.00600000000000001,0.00800000000000001,0.005,0,0.558,0.819
"73206s",0.847,0.848,0.836,0.768,0.74,0.712,0.828,0.827,0.864,0,0.474,0.52,0.475,0.496,0.74,0.669,0.651,0.624,0.65,0.677,0.711,0,0.452,0.471,0.33,0.271,0.234,0.333,0.434,0.355,0.497,0.513,0.454,0,0.531,0.543,0.014,0.00900000000000001,0.012,0.134,0.127,0.132,0.00600000000000001,0.005,0.005,0,0.005,0.03,0.012,0.013,0.011,0.016,0.015,0.00700000000000001,0.00600000000000001,0.00800000000000001,0.00700000000000001,0,0.005,0.00700000000000001,0.012,0.013,0.01,0.003,0.002,0.00600000000000001,0.00900000000000001,0.005,0.00700000000000001,0,0.452,0,0.011,0.015,0.012,0.003,0.004,0.003,0.00700000000000001,0.00700000000000001,0.00700000000000001,0,0.456,0.003,0.00900000000000001,0.004,0.011,0.002,0.003,0.01,0.00600000000000001,0.00800000000000001,0.005,0,0.555,0.824
